iter	Passed	Remaining
668	3255	1610
669	3257	1604
670	3259	1598
671	3261	1592
672	3263	1585
673	3265	1579
674	3268	1573
675	3270	1567
676	3272	1561
677	3275	1555
678	3276	1549
679	3278	1542
680	3279	1536
681	3281	1530
682	3283	1523
683	3285	1517
684	3287	1511
685	3289	1505
686	3291	1499
687	3292	1493
688	3293	1486
689	3295	1480
690	3296	1474
691	3298	1467
692	3299	1461
693	3300	1455
694	3302	1449
695	3303	1442
696	3304	1436
697	3307	1430
698	3309	1425
699	3312	1419
700	3314	1413
701	3315	1407
702	3317	1401
703	3319	1395
704	3320	1389
705	3322	1383
706	3323	1377
707	3326	1371
708	3327	1365
709	3329	1360
710	3331	1354
711	3333	1348
712	3335	1342
713	3338	1337
714	3339	1331
715	3342	1325
716	3343	1319
717	3346	1314
718	3347	1308
719	3350	1303
720	3355	1298
721	3358	1293
722	3360	1287
723	3364	1282
724	3368	1277
725	3371	1272
726	3374	1267
727	3376	1261
728	3379	1256
729	3382	1250
730	3384	1245
731	3389	1240
732	3393	1236
733	3397	1231
734	3398	1225
735	3401	1220
736	3405	1215
737	3407	1209
738	3413	1205
739	3415	1199
740	3417	1194
741	3421	1189
742	3425	1184
743	3428	1179
744	3432	1174
745	3434	1169
746	3436	1163
747	3438	1158
748	3440	1152
749	3442	1147
750	3445	1142
751	3447	1136
752	3450	1131
753	3453	1126
754	3457	1121
755	3458	1116
756	3462	1111
757	3468	1107
758	3471	1102
759	3474	1097
760	3477	1092
761	3480	1087
762	3483	1082
763	3488	1077
764	3492	1073
765	3496	1068
766	3499	1063
767	3503	1058
768	3510	1054
769	3516	1050
770	3523	1046
771	3529	1042
772	3540	1039
773	3551	1037
774	3562	1034
775	3572	1031
776	3579	1027
777	3581	1022
778	3587	1017
779	3590	1012
780	3594	1007
781	3597	1002
782	3601	998
783	3609	994
784	3613	989
785	3618	985
786	3631	982
787	3639	979
788	3641	973
789	3642	968
790	3644	962
791	3646	957
792	3648	952
793	3649	946
794	3651	941
795	3652	936
796	3654	930
797	3656	925
798	3657	920
799	3659	914
800	3661	909
801	3662	904
802	3663	898
803	3665	893
804	3666	888
805	3669	883
806	3671	878
807	3672	872
808	3675	867
809	3677	862
810	3678	857
811	3680	852
812	3683	847
813	3685	842
814	3687	837
815	3690	832
816	3694	827
817	3696	822
818	3698	817
819	3700	812
820	3702	807
821	3705	802
822	3707	797
823	3710	792
824	3712	787
825	3714	782
826	3716	777
827	3719	772
828	3722	767
829	3725	762
830	3726	757
831	3729	753
832	3731	748
833	3734	743
834	3736	738
835	3740	733
836	3742	728
837	3747	724
838	3751	719
839	3754	715
840	3759	710
841	3765	706
842	3767	701
843	3768	696
844	3770	691
845	3771	686
846	3773	681
847	3775	676
848	3777	671
849	3780	667
850	3784	662
851	3788	658
852	3791	653
853	3794	648
854	3797	644
855	3800	639
856	3803	634
857	3805	629
858	3809	625
859	3812	620
860	3815	616
861	3817	611
862	3818	606
863	3819	601
864	3821	596
865	3823	591
866	3825	586
867	3826	581
868	3828	577
869	3830	572
870	3831	567
871	3832	562
872	3834	557
873	3835	552
874	3837	548
875	3838	543
876	3840	538
877	3841	533
878	3843	529
879	3844	524
880	3845	519
881	3847	514
882	3848	509
883	3849	505
884	3850	500
885	3851	495
886	3853	490
887	3854	486
888	3856	481
889	3857	476
890	3858	472
891	3859	467
892	3860	462
893	3861	457
894	3863	453
895	3864	448
896	3865	443
897	3867	439
898	3868	434
899	3869	429
900	3870	425
901	3871	420
902	3873	416
903	3874	411
904	3875	406
905	3876	402
906	3877	397
907	3878	393
908	3880	388
909	3881	383
910	3882	379
911	3883	374
912	3884	370
913	3885	365
914	3886	361
915	3887	356
916	3889	352
917	3890	347
918	3891	342
919	3892	338
920	3893	333
921	3894	329
922	3895	324
923	3896	320
924	3897	316
925	3898	311
926	3899	307
927	3900	302
928	3901	298
929	3902	293
930	3904	289
931	3905	284
932	3906	280
933	3907	276
934	3908	271
935	3909	267
936	3910	262
937	3911	258
938	3912	254
939	3913	249
940	3914	245
941	3916	241
942	3917	236
943	3919	232
944	3920	228
945	3921	223
946	3922	219
947	3923	215
948	3924	210
949	3925	206
950	3926	202
951	3927	198
952	3928	193
953	3929	189
954	3930	185
955	3931	180
956	3932	176
957	3933	172
958	3934	168
959	3935	163
960	3936	159
961	3937	155
962	3938	151
963	3940	147
964	3941	142
965	3942	138
966	3943	134
967	3944	130
968	3945	126
969	3946	122
970	3947	117
971	3948	113
972	3949	109
973	3950	105
974	3951	101
975	3952	97
976	3954	93
977	3955	88
978	3956	84
979	3957	80
980	3958	76
981	3959	72
982	3960	68
983	3961	64
984	3962	60
985	3963	56
986	3964	52
987	3965	48
988	3966	44
989	3967	40
990	3968	36
991	3969	32
992	3971	27
993	3972	23
994	3973	19
995	3974	15
996	3975	11
997	3976	7
998	3977	3
999	3978	0
5	4602	65
986	4603	60
987	4606	55
988	4609	51
989	4610	46
990	4612	41
991	4614	37
992	4615	32
993	4617	27
994	4618	23
995	4620	18
996	4622	13
997	4623	9
998	4624	4
999	4626	0
	508
960	12201	495
961	12210	482
962	12229	469
963	12241	457
964	12261	444
965	12271	431
966	12275	418
967	12295	406
968	12308	393
969	12322	381
970	12350	368
971	12354	355
972	12374	343
973	12378	330
974	12381	317
975	12383	304
976	12385	291
977	12394	278
978	12397	265
979	12410	253
980	12417	240
981	12424	227
982	12434	215
983	12441	202
984	12447	189
985	12457	176
986	12466971	1987	12471972	12476	346
973	1989	12492974	12517	320
975	12524	307
976	12534	295
977	12544	282
978	12551	269
979	12554	256
980	12556	243
981	12564	230
982	12573	217
983	12587	204
984	12595	191
985	12602	178
986	12607	166
987	12618	153
988	12633	140
989	12641	127
990	12649	114
991	12659	102
992	12665	89
993	12669	76
994	12675	63
995	12685	50
996	12693	38
997	12705	25
998	12707	12
999	12715	0
